cell,rho,alpha_b,seed,N,complier_ratio,n_complier,EU_complier,SDU_complier,EU_population,EU_diff_complier_pop,NIE_pop,NDE_pop,kappa_pop,NIE_LATE,NDE_LATE,kappa_LATE_true,delta_kappa_LATE_pop,kappa_IV_uncond,kappa_L_uncond,kappa_U_uncond,IV_width_uncond,FS_uncond,coverage_LATE_uncond,coverage_pop_uncond,kappa_IV_C1,kappa_L_C1,kappa_U_C1,IV_width_C1,FS_C1,coverage_LATE_C1,coverage_pop_C1,crash_rate,n_C1,new_HC_T2b_uncond,new_HC_T2b_C1
T2-a,0.5,0.3,42,1000000,0.338096,338096,-0.03922639936543161,0.9509218397547011,9.750249789376471e-05,-0.03932390186332538,0.0022870488497791284,-0.06922375666227615,0.033038496609437376,0.0021980478461691324,-0.0652463828858182,0.03368842453712319,0.0006499279276858116,0.09734820310195044,0.07136020637353997,0.12333619983036091,0.05197599345682094,0.337799850009627,0,0,-0.1837655881700128,-0.27166673232749305,-0.0958644440125325,0.17580228831496056,0.34148507077181617,0,0,0.102296,102296,0,0
T2-a,0.5,0.3,123,1000000,0.338463,338463,-0.03687387082420459,0.9499024453274061,0.0005457520460580734,-0.03741962287026266,0.0022867075404419007,-0.06920489862036007,0.03304256759317254,0.0021976144985996387,-0.06522965474966062,0.03369042051554125,0.0006478529223687066,0.06742331905974341,0.04144702768153985,0.09339961043794698,0.05195258275640713,0.3377263746292086,0,0,-0.1988617385504405,-0.2870210684477602,-0.11070240865312078,0.17631865979463943,0.33881089987281143,0,0,0.102608,102608,0,0
T2-a,0.5,0.3,456,1000000,0.338206,338206,-0.03694823210592395,0.9533809298253377,-0.0005275459837967066,-0.03642068612212724,0.002286850307955505,-0.06922990206508019,0.033032695984543364,0.00220211693089424,-0.06544545678772931,0.03364812530893856,0.0006154293243951989,0.0958581044590965,0.06994079525111428,0.12177541366707871,0.05183461841596443,0.3390200496943358,0,0,-0.20147628668424789,-0.2898941947142215,-0.11305837865427423,0.17683581605994728,0.33870277597760967,0,0,0.102397,102397,0,0
T2-a,0.5,0.3,789,1000000,0.337737,337737,-0.04141309300037634,0.9535165302591951,-0.0013973967486223884,-0.040015696251753954,0.0022841282231745963,-0.06911332784187482,0.03304902678685187,0.00219408804808913,-0.06513193943500521,0.033686821966642,0.0006377951797901307,0.08650565124521745,0.06050236902237839,0.1125089334680565,0.05200656444567811,0.33819508897011286,0,0,-0.13300186952837353,-0.22057374829665313,-0.045429990760093936,0.1751437575365592,0.33963442273674954,0,0,0.102469,102469,0,0
T2-a,0.5,0.3,2026,1000000,0.338805,338805,-0.04016662693468663,0.9520535737016462,-0.00015432753945639752,-0.04001229939523023,0.0022849394352404233,-0.06914454143868536,0.03304583973944809,0.002194465390602307,-0.06512314467706712,0.03369716560040566,0.0006513258609575703,0.09985260609055562,0.07393483571404517,0.12577037646706604,0.05183554075302087,0.3384317038106627,0,0,-0.1534610997660183,-0.24112394139889065,-0.06579825813314594,0.17532568326574471,0.3401300579673287,0,0,0.102716,102716,0,0
T2-b,1.0,0.3,42,1000000,0.299482,299482,-0.05663202650188038,0.8474763906879148,9.750249789376471e-05,-0.05672952899977415,0.0022870488497791284,-0.06922375666227615,0.033038496609437376,0.002110556894198394,-0.06089559299383572,0.03465861469502464,0.0016201180855872632,0.15981662940655247,0.13219359544782042,0.18743966336528453,0.055246067917464114,0.2989287751172435,0,0,-0.024332428672052042,-0.11471845131559989,0.06605359397149581,0.1807720452870957,0.3053905865042197,1,1,0.101536,101536,0,1
T2-b,1.0,0.3,123,1000000,0.300265,300265,-0.05826323662335818,0.8480280555539229,0.0005457520460580734,-0.05880898866941625,0.0022867075404419007,-0.06920489862036007,0.03304256759317254,0.0021049971974070134,-0.06068708568569758,0.034686081455763636,0.001643513862591095,0.12494366132589958,0.09725588243553866,0.15263144021626052,0.055375557780721854,0.29833475614141874,0,0,-0.03970112106740406,-0.13143111542144906,0.052028873286640936,0.18345998870809,0.2998134738179185,1,1,0.101691,101691,0,1
T2-b,1.0,0.3,456,1000000,0.300074,300074,-0.05605515608163314,0.8511714822111445,-0.0005275459837967066,-0.05552761009783643,0.002286850307955505,-0.06922990206508019,0.033032695984543364,0.0021107275171272544,-0.060925614305100434,0.03464433705267627,0.001611641068132906,0.15839015043887875,0.13085092788794217,0.18592937298981532,0.05507844510187315,0.3003192292630388,0,0,-0.0826903211799964,-0.17488538519813185,0.009504742838139055,0.18439012803627092,0.29960572894111903,0,0,0.101603,101603,0,0
T2-b,1.0,0.3,789,1000000,0.299007,299007,-0.05914170157211924,0.8489006706389582,-0.0013973967486223884,-0.05774430482349685,0.0022841282231745963,-0.06911332784187482,0.03304902678685187,0.0021040106328542568,-0.06064867768361476,0.034691780813923496,0.001642754027071626,0.1511979621538149,0.12356288490267964,0.17883303940495016,0.05527015450227052,0.299415851486408,0,0,-0.001797714889389594,-0.09315917149859261,0.08956374171981342,0.18272291321840603,0.2998662752167988,1,1,0.101546,101546,0,1
T2-b,1.0,0.3,2026,1000000,0.299895,299895,-0.0581414072109038,0.8481230520627362,-0.00015432753945639752,-0.0579870796714474,0.0022849394352404233,-0.06914454143868536,0.03304583973944809,0.0021051517537960915,-0.060703622853295544,0.0346791781914513,0.0016333384520032107,0.16804545517389044,0.1404175957422927,0.19567331460548817,0.05525571886319547,0.29894238186370453,0,0,0.0002572070647922424,-0.0905637200800048,0.09107813420958927,0.18164185428959406,0.3023393900150727,1,1,0.101818,101818,0,1
T2-c,0.5,3.972,42,1000000,0.338096,338096,-0.03922639936543161,0.9509218397547011,9.750249789376471e-05,-0.03932390186332538,0.048495257315582616,-0.06922375666227615,0.7005580114956454,0.046952606371090985,-0.0652463828858182,0.7196200661921519,0.01906205469650646,0.7441784888005374,0.7160625934359015,0.7722943841651733,0.05623179072927176,0.337799850009627,1,0,0.5201960139318341,0.4372546026442721,0.6031374252193962,0.1658828225751241,0.3159536233885344,0,0,0.145874,145874,1,0
T2-c,0.5,3.972,123,1000000,0.338463,338463,-0.03687387082420459,0.9499024453274061,0.0005457520460580734,-0.03741962287026266,0.048490154919000196,-0.06920489862036007,0.7006751817527321,0.0469453093325654,-0.06522965474966062,0.719692745772346,0.019017564019613853,0.7112206830192607,0.6831138653205122,0.7393275007180091,0.05621363539749691,0.3377263746292086,1,1,0.44855794334736654,0.365149430407346,0.5319664562873871,0.16681702588004116,0.31366832763239466,0,0,0.145927,145927,1,0
T2-c,0.5,3.972,456,1000000,0.338206,338206,-0.03694823210592395,0.9533809298253377,-0.0005275459837967066,-0.03642068612212724,0.04848955110065326,-0.06922990206508019,0.7004134001962076,0.047021609596820266,-0.06544545678772931,0.7184854672087273,0.018072067012519732,0.7417795823256469,0.7137362440428178,0.769822920608476,0.056086676565658244,0.3390200496943358,1,0,0.43530915700619177,0.3517190331716564,0.5188992808407271,0.1671802476690707,0.3133700550179214,0,0,0.145791,145791,1,0
T2-c,0.5,3.972,789,1000000,0.337737,337737,-0.04141309300037634,0.9535165302591951,-0.0013973967486223884,-0.040015696251753954,0.048442059179294825,-0.06911332784187482,0.7009076352122122,0.04687501179055708,-0.06513193943500521,0.7196931673949827,0.01878553218277046,0.7324452242852316,0.7043167431642275,0.7605737054062357,0.05625696224200816,0.33819508897011286,1,0,0.500077962646185,0.4170598551931852,0.5830960700991847,0.1660362149059995,0.31461200836518005,0,0,0.145777,145777,1,0
T2-c,0.5,3.972,2026,1000000,0.338805,338805,-0.04016662693468663,0.9520535737016462,-0.00015432753945639752,-0.04001229939523023,0.04845753918084384,-0.06914454143868536,0.7008151066243468,0.04688529966395684,-0.06512314467706712,0.7199483362858448,0.019133229661497997,0.7493665399142344,0.7213082522970116,0.7774248275314573,0.05611657523444569,0.3384317038106627,0,0,0.4897956758586836,0.4069232099890026,0.5726681417283646,0.16574493173936194,0.31621339386702707,0,0,0.145928,145928,0,0
T2-d,1.0,3.972,42,1000000,0.299482,299482,-0.05663202650188038,0.8474763906879148,9.750249789376471e-05,-0.05672952899977415,0.048495257315582616,-0.06922375666227615,0.7005580114956454,0.04551455121092765,-0.06089559299383572,0.7474194596567103,0.046861448161064856,0.787706409695998,0.7567147311862727,0.8186980882057233,0.06198335701945057,0.2989287751172435,0,0,0.5419375671239841,0.45021704236167204,0.6336580918862962,0.18344104952462414,0.27552220143341954,0,0,0.146692,146692,0,0
T2-d,1.0,3.972,123,1000000,0.300265,300265,-0.05826323662335818,0.8480280555539229,0.0005457520460580734,-0.05880898866941625,0.048490154919000196,-0.06920489862036007,0.7006751817527321,0.045412241297984636,-0.06068708568569758,0.7483015667151597,0.04762638496242755,0.7495904541611372,0.7185377126400212,0.7806431956822533,0.06210548304223207,0.29833475614141874,1,0,0.4760458379815631,0.3824845879336955,0.5696070880294307,0.18712250009573522,0.26979459992432264,0,0,0.146645,146645,1,0
T2-d,1.0,3.972,456,1000000,0.300074,300074,-0.05605515608163314,0.8511714822111445,-0.0005275459837967066,-0.05552761009783643,0.04848955110065326,-0.06922990206508019,0.7004134001962076,0.04551394503372711,-0.060925614305100434,0.7470412166187527,0.0466278164225451,0.7844343728574826,0.7535430529672578,0.8153256927477075,0.06178263978044973,0.3003192292630388,0,0,0.45807375428150265,0.36445553532554803,0.5516919732374572,0.1872364379119092,0.2699605778111215,0,0,0.146487,146487,0,0
T2-d,1.0,3.972,789,1000000,0.299007,299007,-0.05914170157211924,0.8489006706389582,-0.0013973967486223884,-0.05774430482349685,0.048442059179294825,-0.06911332784187482,0.7009076352122122,0.04539400613054018,-0.06064867768361476,0.7484747873209464,0.04756715210873419,0.7755472373706463,0.7445511344020006,0.8065433403392921,0.06199220593729149,0.299415851486408,1,0,0.513576477944652,0.42036114065501656,0.6067918152342875,0.18643067457927093,0.27047078367836175,0,0,0.14644,146440,1,0
T2-d,1.0,3.972,2026,1000000,0.299895,299895,-0.0581414072109038,0.8481230520627362,-0.00015432753945639752,-0.0579870796714474,0.04845753918084384,-0.06914454143868536,0.7008151066243468,0.0454148467469235,-0.060703622853295544,0.7481406316832039,0.04732552505885712,0.7959213991744439,0.7649127306158967,0.8269300677329912,0.06201733711709445,0.29894238186370453,0,0,0.4980883419752466,0.4051424060273827,0.5910342779231105,0.18589187189572776,0.2716881698274627,0,0,0.146765,146765,0,0
